param_id,window_id,test_start,test_end,cagr,mdd,calmar,turnover
471b0b2351,0,2005-01-01,2007-12-31,0.13052965734441124,-0.4366530309043972,0.2989322141519498,0.006402048655569782
471b0b2351,1,2011-01-01,2013-12-31,0.41416257593135297,-0.2869136451369043,1.443509512186952,0.020460358056265986
44d77de534,0,2005-01-01,2007-12-31,0.22240095331977172,-0.2870030694262108,0.7749079261222033,0.006402048655569782
44d77de534,1,2011-01-01,2013-12-31,0.4399101266758365,-0.20311530213045004,2.1658147961363636,0.017263427109974423
1be31b08d1,0,2005-01-01,2007-12-31,0.13052965734441124,-0.4366530309043972,0.2989322141519498,0.006402048655569782
1be31b08d1,1,2011-01-01,2013-12-31,0.41416257593135297,-0.2869136451369043,1.443509512186952,0.020460358056265986
853d65e25c,0,2005-01-01,2007-12-31,0.22240095331977172,-0.2870030694262108,0.7749079261222033,0.006402048655569782
853d65e25c,1,2011-01-01,2013-12-31,0.4399101266758365,-0.20311530213045004,2.1658147961363636,0.017263427109974423
6c632fdac1,0,2005-01-01,2007-12-31,0.13052965734441124,-0.4366530309043972,0.2989322141519498,0.006402048655569782
6c632fdac1,1,2011-01-01,2013-12-31,0.4168805848593049,-0.2869136451369042,1.452982776961986,0.020460358056265986
28bf494974,0,2005-01-01,2007-12-31,0.22240095331977172,-0.2870030694262108,0.7749079261222033,0.006402048655569782
28bf494974,1,2011-01-01,2013-12-31,0.45103294066507016,-0.2047836577047466,2.2024850308873836,0.017263427109974423
d6f065d565,0,2005-01-01,2007-12-31,0.13052965734441124,-0.4366530309043972,0.2989322141519498,0.006402048655569782
d6f065d565,1,2011-01-01,2013-12-31,0.41449037929072174,-0.28691364513690454,1.4446520279401223,0.020460358056265986
015bc3cbf7,0,2005-01-01,2007-12-31,0.22240095331977172,-0.2870030694262108,0.7749079261222033,0.006402048655569782
015bc3cbf7,1,2011-01-01,2013-12-31,0.44247663979953833,-0.19638693096777438,2.2530859748103373,0.017263427109974423
41f87d3960,0,2005-01-01,2007-12-31,0.13052965734441124,-0.4366530309043972,0.2989322141519498,0.006402048655569782
41f87d3960,1,2011-01-01,2013-12-31,0.41449037929072174,-0.28691364513690454,1.4446520279401223,0.020460358056265986
66ba1dad1b,0,2005-01-01,2007-12-31,0.22240095331977172,-0.2870030694262108,0.7749079261222033,0.006402048655569782
66ba1dad1b,1,2011-01-01,2013-12-31,0.44247663979953833,-0.19638693096777438,2.2530859748103373,0.017263427109974423
10b440c5e9,0,2005-01-01,2007-12-31,0.09217423388264967,-0.49883205954711285,0.1847800920540957,0.006402048655569782
10b440c5e9,1,2011-01-01,2013-12-31,0.4168805848593049,-0.2869136451369042,1.452982776961986,0.020460358056265986
fec05654d4,0,2005-01-01,2007-12-31,0.20350796953747352,-0.30488059580917204,0.6675005636136033,0.006402048655569782
fec05654d4,1,2011-01-01,2013-12-31,0.45600543364602775,-0.2047836577047466,2.226766719361406,0.017263427109974423
b71f597ace,0,2005-01-01,2007-12-31,0.09217423388264967,-0.49883205954711285,0.1847800920540957,0.006402048655569782
b71f597ace,1,2011-01-01,2013-12-31,0.41449037929072174,-0.28691364513690454,1.4446520279401223,0.020460358056265986
a74a4724fc,0,2005-01-01,2007-12-31,0.20350796953747352,-0.30488059580917204,0.6675005636136033,0.006402048655569782
a74a4724fc,1,2011-01-01,2013-12-31,0.4474198114985286,-0.19638693096777438,2.278256548405183,0.017263427109974423
0f4338a9a8,0,2005-01-01,2007-12-31,0.09217423388264967,-0.49883205954711285,0.1847800920540957,0.006402048655569782
0f4338a9a8,1,2011-01-01,2013-12-31,0.41449037929072174,-0.28691364513690454,1.4446520279401223,0.020460358056265986
8cff0015be,0,2005-01-01,2007-12-31,0.20350796953747352,-0.30488059580917204,0.6675005636136033,0.006402048655569782
8cff0015be,1,2011-01-01,2013-12-31,0.4474198114985286,-0.19638693096777438,2.278256548405183,0.017263427109974423
1492184bd9,0,2005-01-01,2007-12-31,0.05778019805470347,-0.5461470327689064,0.1057960486606768,0.006402048655569782
1492184bd9,1,2011-01-01,2013-12-31,0.48585711326127345,-0.2869136451369041,1.693391448947788,0.020460358056265986
bee2dc7f75,0,2005-01-01,2007-12-31,0.18688423757148853,-0.3342083862831551,0.5591847638830718,0.006402048655569782
bee2dc7f75,1,2011-01-01,2013-12-31,0.49273375823528376,-0.21288714723984126,2.3145303256854857,0.017263427109974423
f2fae7521f,0,2005-01-01,2007-12-31,0.05778019805470347,-0.5461470327689064,0.1057960486606768,0.006402048655569782
f2fae7521f,1,2011-01-01,2013-12-31,0.4833505477933089,-0.2869136451369042,1.684655142709133,0.020460358056265986
e62ab3b72d,0,2005-01-01,2007-12-31,0.18688423757148853,-0.3342083862831551,0.5591847638830718,0.006402048655569782
e62ab3b72d,1,2011-01-01,2013-12-31,0.4839315603046539,-0.20457598562977053,2.3655345411872757,0.017263427109974423
8b61403828,0,2005-01-01,2007-12-31,0.05778019805470347,-0.5461470327689064,0.1057960486606768,0.006402048655569782
8b61403828,1,2011-01-01,2013-12-31,0.4833505477933089,-0.2869136451369042,1.684655142709133,0.020460358056265986
e7e6c1dae9,0,2005-01-01,2007-12-31,0.18688423757148853,-0.3342083862831551,0.5591847638830718,0.006402048655569782
e7e6c1dae9,1,2011-01-01,2013-12-31,0.4839315603046539,-0.20457598562977053,2.3655345411872757,0.017263427109974423
49848db252,0,2005-01-01,2007-12-31,0.1462436130327489,-0.37468137690365255,0.3903146034139688,0.0038412291933418692
49848db252,1,2011-01-01,2013-12-31,0.3071713443344988,-0.41205296642663725,0.7454656788381311,0.024296675191815855
9511c75b50,0,2005-01-01,2007-12-31,0.20952158429151324,-0.2573962339078635,0.8140040788883988,0.003201024327784891
9511c75b50,1,2011-01-01,2013-12-31,0.39110008310788524,-0.2301188363524027,1.6995570171794052,0.023657289002557546
c81fb43b69,0,2005-01-01,2007-12-31,0.1462436130327489,-0.37468137690365255,0.3903146034139688,0.0038412291933418692
c81fb43b69,1,2011-01-01,2013-12-31,0.28008997810403446,-0.4120529664266377,0.6797426567098915,0.024296675191815855
d63dab986c,0,2005-01-01,2007-12-31,0.20952158429151324,-0.2573962339078635,0.8140040788883988,0.003201024327784891
d63dab986c,1,2011-01-01,2013-12-31,0.38289718811386675,-0.23011883635240227,1.663910674081025,0.023657289002557546
974bbe01e8,0,2005-01-01,2007-12-31,0.1462436130327489,-0.37468137690365255,0.3903146034139688,0.0038412291933418692
974bbe01e8,1,2011-01-01,2013-12-31,0.28008997810403446,-0.4120529664266377,0.6797426567098915,0.024296675191815855
d1a4a908b0,0,2005-01-01,2007-12-31,0.20952158429151324,-0.2573962339078635,0.8140040788883988,0.003201024327784891
d1a4a908b0,1,2011-01-01,2013-12-31,0.38289718811386675,-0.23011883635240227,1.663910674081025,0.023657289002557546
50a59dd20c,0,2005-01-01,2007-12-31,0.1462436130327489,-0.37468137690365255,0.3903146034139688,0.0038412291933418692
50a59dd20c,1,2011-01-01,2013-12-31,0.3033667397158326,-0.4120529664266366,0.7362323886335742,0.024296675191815855
954c959c75,0,2005-01-01,2007-12-31,0.20952158429151324,-0.2573962339078635,0.8140040788883988,0.003201024327784891
954c959c75,1,2011-01-01,2013-12-31,0.3935800502849076,-0.23011883635240227,1.7103339149611467,0.023657289002557546
6ba36eb762,0,2005-01-01,2007-12-31,0.1462436130327489,-0.37468137690365255,0.3903146034139688,0.0038412291933418692
6ba36eb762,1,2011-01-01,2013-12-31,0.276364195509341,-0.4120529664266367,0.6707006575052671,0.024296675191815855
68b4309677,0,2005-01-01,2007-12-31,0.20952158429151324,-0.2573962339078635,0.8140040788883988,0.003201024327784891
